DateTime, Prediction
Year, Month,  Highest, MHHW, MHW, MSL, MTL, MLW, MLLW, DTL, GT, MN, DHQ, DLQ, HWI, LWI, Lowest, Inferred 
1912,1,6.793,,3.342,-1.087,-1.117,-5.576,,,,8.921,,,3.560,9.780,-7.406,0
1912,2,6.094,,3.503,-0.936,-0.956,-5.418,,,,8.921,,,3.450,9.820,-7.406,0
1912,3,4.992,,3.434,-1.077,-1.097,-5.618,,,,9.049,,,3.510,9.780,-7.806,0
1912,4,6.094,,3.703,-0.736,-0.766,-5.238,,,,8.940,,,3.530,9.740,-6.707,0
1912,5,5.592,,3.762,-0.667,-0.697,-5.156,,,,8.921,,,3.540,9.770,-7.006,0
1912,6,5.894,,3.791,-0.566,-0.589,-4.959,,,,8.750,,,3.590,9.770,-6.806,0
1912,7,6.193,,3.834,-0.487,-0.546,-4.926,,,,8.760,,,3.650,9.920,-7.006,0
1912,8,5.894,,3.663,-0.448,-0.618,-4.896,,,,8.560,,,3.520,10.120,-7.108,0
1912,9,5.592,,3.634,-0.448,-0.556,-4.749,,,,8.379,,,3.730,10.120,-6.507,0
1912,10,5.494,,3.644,-0.667,-0.687,-5.018,,,,8.661,,,3.610,9.790,-6.908,0
1912,11,5.592,,3.693,-0.648,-0.648,-4.998,,,,8.691,,,3.620,9.780,-6.908,0
1912,12,6.094,,3.332,-0.956,-0.966,-5.257,,,,8.589,,,3.580,9.810,-7.308,0
1913,1,5.993,,3.483,-0.936,-0.936,-5.356,,,,8.839,,,3.610,9.770,-7.308,0
1913,2,5.993,,3.312,-0.946,-0.986,-5.297,,,,8.609,,,3.480,9.760,-7.406,0
1913,3,4.792,,3.174,-1.166,-1.186,-5.536,,,,8.711,,,3.470,9.780,-7.908,0
1913,4,4.992,,3.473,-0.828,-0.808,-5.097,,,,8.570,,,3.480,9.790,-7.308,0
1913,5,5.392,,3.594,-0.808,-0.707,-4.998,,,,8.589,,,3.660,9.800,-6.908,0
1913,6,5.192,,3.683,-0.598,-0.608,-4.906,,,,8.589,,,3.500,9.760,-6.307,0
1913,7,5.694,,3.703,-0.638,-0.667,-5.037,,,,8.740,,,3.650,9.830,-6.606,0
1913,8,5.694,,3.663,-0.667,-0.697,-5.057,,,,8.720,,,3.520,9.780,-6.806,0
1913,9,5.392,,3.571,-0.799,-0.808,-5.188,,,,8.760,,,3.560,9.790,-7.406,0
1913,10,6.892,,3.923,-0.487,-0.477,-4.877,,,,8.799,,,3.630,9.780,-7.308,0
1913,11,5.592,,3.581,-0.736,-0.697,-4.978,,,,8.560,,,3.620,9.830,-7.508,0
1913,12,6.892,,3.644,-0.717,-0.687,-5.018,,,,8.661,,,3.500,9.860,-6.507,0
1914,1,5.392,,3.791,-0.526,-0.447,-4.686,,,,8.481,,,3.560,9.870,-6.507,0
1914,2,6.692,,3.322,-0.999,-1.009,-5.336,,,,8.661,,,3.540,9.810,-7.708,0
1914,3,5.392,,3.644,-0.808,-0.828,-5.287,,,,8.930,,,3.440,9.740,-7.708,0
1914,4,5.894,,3.463,-0.887,-0.907,-5.257,,,,8.740,,,3.440,9.740,-8.207,0
1914,5,6.393,,3.644,-0.736,-0.746,-5.146,,,,8.789,,,3.440,9.700,-7.108,0
1914,6,5.592,,3.644,-0.799,-0.818,-5.277,,,,8.921,,,3.630,9.790,-7.206,0
1914,7,5.392,,3.873,-0.576,-0.589,-5.047,,,,8.921,,,3.590,9.780,-6.606,0
1914,8,5.294,,3.781,-0.618,-0.667,-5.116,,,,8.901,,,3.670,9.880,-6.507,0
1914,9,5.793,,3.834,-0.516,-0.576,-4.988,,,,8.819,,,3.620,9.860,-6.606,0
1914,10,5.894,,3.663,-0.628,-0.556,-4.778,,,,8.442,,,3.660,9.790,-7.508,0
1914,11,6.593,,3.581,-0.687,-0.628,-4.827,,,,8.409,,,3.650,9.790,-7.508,0
1914,12,6.793,,3.453,-0.776,-0.818,-5.077,,,,8.530,,,3.680,9.770,-7.406,0
1915,1,6.393,,3.453,-0.848,-0.877,-5.208,,,,8.661,,,3.640,9.780,-6.806,0
1915,2,4.992,,3.571,-0.746,-0.776,-5.126,,,,8.701,,,3.630,9.780,-6.908,0
1915,3,5.294,,3.683,-0.628,-0.618,-4.916,,,,8.599,,,3.520,9.700,-6.806,0
1915,4,6.692,,3.542,-0.887,-0.907,-5.356,,,,8.901,,,3.470,9.720,-7.308,0
1915,5,6.193,,3.834,-0.497,-0.526,-4.959,,,,8.789,,,3.550,9.810,-8.207,0
1915,6,5.793,,3.693,-0.687,-0.707,-5.097,,,,8.789,,,3.610,9.600,-7.206,0
1915,7,5.592,,3.854,-0.516,-0.536,-4.926,,,,8.780,,,3.500,9.840,-6.908,0
1915,8,5.793,,3.814,-0.576,-0.576,-4.959,,,,8.770,,,3.610,9.740,-5.808,0
1915,9,5.392,,3.742,-0.598,-0.618,-4.969,,,,8.711,,,3.600,9.750,-6.107,0
1915,10,5.392,,3.522,-0.638,-0.746,-5.008,,,,8.530,,,3.610,10.050,-6.806,0
1915,11,6.094,,3.653,-0.589,-0.628,-4.916,,,,8.570,,,3.600,9.970,-7.508,0
1915,12,6.793,,3.932,-0.487,-0.477,-4.887,,,,8.819,,,3.550,9.750,-6.806,0
1916,1,6.393,,3.594,-0.838,-0.838,-5.267,,,,8.862,,,3.530,9.760,-7.406,0
1916,2,5.694,,3.532,-0.789,-0.828,-5.198,,,,8.730,,,3.700,9.810,-7.708,0
1916,3,6.193,,3.722,-0.736,-0.756,-5.247,,,,8.970,,,3.650,9.800,-7.006,0
1916,4,5.494,,3.873,-0.556,-0.598,-5.067,,,,8.940,,,3.610,9.770,-6.806,0
1916,5,6.291,,3.873,-0.526,-0.566,-5.008,,,,8.881,,,3.550,9.760,-6.806,0
1916,6,6.393,,3.982,-0.418,-0.438,-4.857,,,,8.839,,,3.480,9.700,-6.908,0
1916,7,5.894,,3.653,-0.697,-0.756,-5.156,,,,8.809,,,3.530,9.740,-7.606,0
